ภูมิประเทศ	คำอธิบาย
เตียงฮัน, เตียงอั๋น	เมือง ว่าเปนเมืองหลวงครั้งราชวงศ์ไซ่ฮั่น ขึ้นอยู่ในมณฑลยงจิ๋ว แต่ในครั้งนั้นไม่ได้ชี้ว่าตั้งอยู่ที่ใด ภายหลังมาจึงได้ชี้เอาเมืองซีงางฟู้ มณฑลเซียนซีเปนเมืองเตียงฮัน
ตันเข	แม่น้ำ อยู่ทางตวันตกเฉียงใต้ อำเภอเสียงเอี้ยงมณฑลฮูเป
ตันฉอง	เมือง เมืองเก่าอยู่ทางตวันออกอำเภอเปากีมณฑลเซียนซี
ตันลิว	เมือง ชื่อนี้มีอยู่ในมณฑลโห้ลำเมือง ๑ มณฑลเกียงซูเมือง ๑ ที่กล่าวถึงในสามก๊กไม่ปรากฎชัดว่าเปนเมืองไหน
ตันอู	เมือง คือประเทศของพวกฮยงนู ตั้งแต่ภาคเหนืออำเภอเอียวหยก มณฑลซันซี จดประเทศมังโกเลีย คำว่า “ตันอู” ไม่ใช่ชื่อเมือง เปนคำของพวกฮยงนูยกย่องพระเจ้าแผ่นดินของตน เช่นภาษาจีนว่า “ฮ่วงเสียง” หรือ “ฮ่วงตี่” ฉะนั้น
ตันเอี๋ยง	เมือง ครั้งสามก๊กมี ๓ เมือง ต่อมาเปลี่ยนชื่อใหม่ทั้ง ๓ คืออำเภอส่วงเฉ่ง อำเภอตังถู่ มณฑลงางไฝ และอำเภอเกียงหลิง มณฑลเกียงซู เมืองตันเอี๋ยงในสามก๊กหมายเอาเมืองใดไม่แน่
ตินก๊กชือ	วัด ไม่ทราบว่าอยู่ที่ไหน
ตีนลำ	ตำบล ตั้งขึ้นภายหลังสามก๊ก อยู่ในมณฑลยงลำ
ตุ้นก๋วน	เมือง ภายหลังเรียกเมืองตุ้นจิ๋วอยู่แขวงปักกิง
ตวนโกะ	ภูเขา เขานี้เรียกตามชื่อแม่น้ำตวนโกะ อยู่แขวงอำเภอชิงซุ้ย มณฑลกังซก
เตียวเจียง เตียวเอี๋ยง	เมือง (ดูที่เจ้าเส)
ไทสัน	อยู่ในมณฑลซันตง
ไทเหียงสัน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
ไทเฮียง	เมือง เมืองเก่าอยู่ทางตวันออกเฉียงเหนือ อำเภอพิงลกมณฑลซันซี
ไท้ฮัวสุย	แม่น้ำ ไม่ทราบว่าอยู่ที่ไหน
ทรงปูก๋วน	เมือง ไม่ทราบว่าอยู่ที่ไหน
เทียดลองสัน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
เทียนซุย	เมือง ชื่อนี้มี ๘ เมือง อยู่ในมณฑลกังซก ๕ เมือง มณฑลเซียนซีเมือง ๑ มณฑลเสฉวนเมือง ๑ มณฑลงางไฝเมือง ๑ เมืองเทียนซุยที่กล่าวในเรื่องสามก๊กอยู่ใต้อำเภอทงไวมณฑลกังซก
เทียนตองสัน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
นำกุน	เมือง คือเมืองลำกุ๋น (ดูอักษร ล)
น้ำฉี	เมือง ตั้งขึ้นครั้งราชวงศ์ชีภายหลังสามก๊ก ต่อมาชี้เอาเมืองเกียงหลิ่งฟู มณฑลเกียงซูเปนเมืองน้ำฉี
บิซองสัน	ภูเขา อยู่ในมณฑลเซียนซี
บิต๊ก	เมือง เมืองเก่าอยู่ทางเหนืออำเภอเตอะเอี๋ยง มณฑลเสฉวน
บุกองสัน	ภูเขา อยู่ในมณฑลเซียนซี
บุเหลง	เมือง ภายหลังเปนอำเภอเซี่ยงเตอะ มณฑลฮูลำ
บุเสง	เมือง ชื่อนี้มี ๔ เมือง คืออำเภอบุเสง มณฑลซันตง เมือง ๑ เมืองบุเสงซึ่งเปลี่ยนเปนอำเภอปี่มณฑลซันตงอิกเมือง ๑ เมืองบุเสงเก่าอยู่ทางตวันออกเฉียงเหนือ อำเภอฟา มณฑลเซียนซีเมือง ๑ เมืองบุเสงเก่าอยู่ทางตวันออกเฉียงเหนือ อำเภอพิงลู มณฑลซันซีเมือง ๑ เมืองบุเสงที่กล่าวถึงในสามก๊ก ไม่ปรากฎว่าอยู่ที่ไหนแน่
บูเค้า	ตำบล ไม่ทราบว่าอยู่ที่ไหน
บูเฉียง	เมือง อยู่ในมณฑลฮูเป
บุเสียงซัน	ภูเขา อยู่ในมณฑลกังซก
บูอั๋น	เมือง ภายหลังเปนอำเภอบูอั๋น มณฑลโห้ลำ
บูอาว	ตำบล ภายหลังเปนอำเภอ มณฑลงางไฝ เมืองเก่าอยู่ทางตวันออกอำเภอนั้น
เบาะเหลง, วัวเหลง	เมือง ภายหลังเรียกเกียงลิงฟู มณฑลเกียงซู (ดูอธิบายที่ เกียนเงียบ อักษร ก)
บอกเซ็ก	ตำบล ไม่ทราบว่าอยู่ที่ไหน
บอกบุ๋น	ตำบล ไม่ทราบว่าอยู่ที่ไหน
บองเทาเงียบ	ภูเขา ชื่อนี้มีอยู่ ๔ ภูเขา อยู่ทางเหนือ อำเภอปี่ มณฑลซันตง ๑ อยู่ที่พรมแดนอำเภอเงียงาง อำเภอมิงซัน อำเภอลูซัน มณฑลเสฉวน ๑ อยู่ทางตวันออก อำเภอลินงาง มณฑลยงลำ ๑ อยู่ทางตวันตกเฉียงใต้ อำเภอม่งซัน มณฑลกวงซี ๑ ภูเขาบองที่กล่าวในสามก๊กไม่แน่ว่าลูกไหน
บองหยง, บองเอี๋ยงสัน	ภูเขา ชื่อนี้มี ๒ ภูเขา อยู่ทางตวันออกเฉียงใต้ อำเภอทะซัน มณฑลเกียงซูทั้ง ๒ ลูก
เบียดสวน	ธารน้ำ ไม่ทราบว่าอยู่ที่ไหน
ปาเส	เมือง ภายหลังเปนอำเภอลั่งจง มณฑลเสฉวน
ปาต๋ง	เมือง ภายหลังเรียกปาจิ๋ว มณฑลเสฉวน
ปากุน	เปากุน เมือง ภายหลังเปนอำเภอปา มณฑลเสฉวน
ปาซัน	ภูเขา อยู่ทางตวันตกเฉียงใต้อำเภอซีเฮียง มณฑลเซียนซี
ปากิว	ด่าน เมืองด่านเก่าอยู่แขวงอำเภอช่งเหย่ง มณฑลเกียงซี
ปาขิว	ตำบล ภายหลังเปนอำเภอเงาะเอี้ยง มณฑลฮูลำ
ป่าเหล็ง	แม่น้ำ ภายหลังเรียกแม่น้ำป่า มณฑลเซียนซี
ปูเต๋า	เมือง ภายหลังเปนอำเภอปูเต๋า เมืองเก่าอยู่ทางตวันตก อำเภอเฉ่ง มณฑลกังซก
แปะเฉีย	ท่า คือท่าภูเขาแปะเฉีย อยู่ทางตวันออกเฉียงใต้ อำเภอปี มณฑลเซียนซี
แปะแบ๊ะ	ตำบล อยู่ทางตวันออกเฉียงเหนือ อำเภอกวัด มณฑลโห้ลำ
แปะโห	แม่น้ำ ชื่อนี้มีในมณฑลจิลีแม่น้ำ ๑ ในมณฑลกังซกแม่น้ำ ๑ ที่กล่าวในเรื่องสามก๊กไม่ได้ชี้ลงไปชัดว่าแม่น้ำใด
ไปเซีย	เมือง ภายหลังเปนอำเภอไป มณฑลเซียนซี
โปจิว	เมือง ไม่ทราบว่าอยู่ที่ไหน
โปซุย	แม่น้ำ ภายหลังเรียกโปลิง อยู่ในมณฑลเสฉวน
เปาแก๋	บ้าน ไม่ทราบว่าอยู่ที่ไหน
เปาเหลง	เมือง ตั้งขึ้นภายหลังสามก๊ก คืออำเภอเงาะเลี้ยง มณฑลฮูลำ
เปาสิว	ทาง ภายหลังเปนอำเภอตาวโห้ มณฑลกังซก
ปักกัว	ภูเขา อยู่ทางเหนือ อำเภอตังถู่ มณฑลเกียงซู
ปักคูสาน	ภูเขา อยู่ทางตวันออกเฉียงเหนือ อำเภอลกเอี๋ยง มณฑลโห้ลำ
ปักหงวน	ทาง ไม่ทราบว่าอยู่ที่ไหน
ปักเต้เสีย, เป๊กเต้	เมือง อยู่ทางตวันออก อำเภอฟงเจอะ มณฑลเสฉวน
ปักเป๋ง	เมือง คือเมืองปักกิง
ปักสัน	ภูเขา เขาปักมักเรียกชื่อหลายอย่าง ว่าปักคูบ้าง วาง บ้าง เกียะ บ้าง ปัก บ้าง ปักกวาง บ้าง ปักคูสาน บ้าง อยู่ในมณฑลโห้ลำ
ปักเอี้ยง	เมือง ภายหลังเปนอำเภอปักเอี้ยง มณฑลจิลี เมืองเก่าอยู่ทางใต้ อำเภอปักเอี้ยงนั้น
ปักไฮ	เมือง เมืองเก่าอยู่ทางตวันออกเฉียงใต้ อำเภอ เชียงลก มณฑลซันตง
เปกตก	แม้น้ำ อยู่ในมณฑลจิลี
เปงลงสาน	ภูเขา อยู่ทางตวันออกเฉียงใต้ อำเภอตะเกา มณฑลจิลี
เป๊กเซีย	เมือง เมืองเก่าอยู่ทางตวันออกเฉียงใต้ อำเภอตังเอี๋ยง มณฑลฮูเป
เปงหงวน	เมือง (ดูที่เพ่งง่วนก๋วน)
เป๊งจิ๋ว, เปงจิ๋ว, เบงจิว, เปนจิ๋ว	เมือง เปนอย่างมณฑลมาแต่ครั้งพระเจ้าสุ่นเต้ฮองเต้ ครั้งราชวงศ์ตั้งฮั่น ตั้งที่ว่าการมณฑลที่เมืองจินเอี้ยง ราชวงศ์ภายหลังสามก๊กลงมาชี้เอาเมืองจินเอี้ยงเปนเมืองเป๊งจิ๋ว ต่อมาเปลี่ยนเปนเมืองไทย่งฟู้ อยู่ในมณฑลซันซี
ปัดลับต๋อง	เมือง ไม่ทราบว่าอยู่ทีไหน
ปุดไฮ	เมือง ครั้งราชวงศ์ตั้งฮั่น ตั้งที่ว่าการเมืองที่อำเภอลำพี้ มณฑลจิลี มาจนครั้งสามก๊ก ภายหลังย้ายไปตั้งที่อื่น จนเปลี่ยนชื่อเปนเมืองชังจิ๋ว
ปั้นอัน	แม่น้ำ ไม่ทราบว่าอยู่ที่ไหน
โปยซิก๋วน	ด่าน ไม่ทราบว่าอยู่ทีไหน
ไพก๊ก, ไพก๋วน, พายก๊ก,	เมือง ภายหลังเปนชื่ออำเภอไพ มณฑลเกียงซู เมืองเก่าอยู่ทางตวันออก อำเภอไพ
พกบ๋อง	ทุ่ง อยู่ทางตวันออกเฉียงเหนือ อำเภอลำเอี้ยง มณฑลโห้ลำ
พักเหลง	ตำบล อยู่ในมณฑลจิลี
เพงง่วนก๋วน, เพงง้วนก้วน, เปงหงวน	เมือง ภายหลังเปนอำเภอเพ่งง่วน มณฑลซันตง
เพงเสีย, เพงเซีย	เมือง คือเมืองชีจิ๋วในภายหลัง (ดูอักษร ช)
พวนโห	แม่น้ำ อยู่ในมณฑลยงลำและมณฑลกุยจิ๋ว
มอซุย, อุยซุย, อุยโห, ฮุยซุย, ฮุยโห	แม่น้ำ ภายหลังเรียกแม่น้ำอุย อยู่ในมณฑลกังซก มณฑลเซียนซี รวมมาลงแม่น้ำฮองโห
มอเทียนเนีย	ภูเขา อยู่ทางตวันตกเฉียงใต้ อำเภอบูอัน มณฑลโห้ลำแลอำเภอเลี่ยว มณฑลซันซี ผู้แต่งหนังสือสามก๊กเห็นจะเดาภูมิประเทศผิด จึงเอาเขอมอเทียนเนียไปไว้ในมณฑลเสฉวน
มอเสีย	เมือง ไม่ทราบว่าอยู่ที่ไหน
ม้าเล่ง, ม้าเล่น	ภูเขา เปนตำบลไม่ใช่ภูเขา อยู่ทางเหนืออำเภอจินลก มณฑลซันซี
ม้าอั๋ว	ภูเขา อยู่ทางตวันตกเฉียงเหนือ อำเภอคุนซัน มณฑลเกียงซู
มีตอง	เมือง ไม่ทราบว่าอยู่ที่ไหน
มันอ๋อง	เมือง เมืองเก่าอยู่ทางใต้ทะเลสาป อำเภอเจียนฉี่ มณฑลยงลำ
ยี่หย่ง	เมือง เมืองเก่าอยู่ทางตวันตกเฉียงใต้ อำเภอมิหย่ง เมืองปักกิ่ง
ยีหลำ	เมือง (ดูที่หลีหลำ)
ยีเอ๋ง	เมือง ไม่ทราบว่าอยู่ที่ไหน
ยี่เอี๋ยง	เมือง เมืองเก่าอยู่ทางตวันตกเฉียงเหนือ อำเภอเซียงซุย มณฑลโห้ลำ
ยีซู	ปากน้ำ อยู่ทางตวันออกอำเภอวูไว มณฑลงางไฝ (ดูอักษร ญ)
ยู่เอี๋ยง	เมือง ไม่ทราบว่าอยู่ที่ไหน
หยกซุย	แม่น้ำ อยู่ในมณฑลฮูเป
ยงจิ๋ว, เลงจิ๋ว, ฮองจิ๋ว	เมือง เปนอย่างมณฑลมาแต่ครั้งพระเจ้าสุ่นเต้ฮองเต้ เขตแดนกว้างขวาง คือมณฑลเซียนซี มณฑลกังซกถึงชิงไฮ (คือฮินดูเหนือ) ต่อมาภายหลังยุบเลิก
ยงเป๋ง, เอี้ยงเป๋ง	เมือง เมืองเก่าอยู่ทางตวันตกเฉียงเหนือ อำเภอเมียน มณฑลเซียนซี
ยงเสีย, เยียงเสีย,	เมือง ภายหลังเปนอำเภอยงเสีย มณฑลซันซี เมืองเก่าอยู่ทางตวันตกเฉียงใต้ อำเภอติงฟง มณฑลโห้ลำ
ยิวสวน	ธาร ไม่ทราบว่าอยู่ที่ไหน
เหยียว	เมือง ภายหลังเปนอำเภออิเหยียว มณฑลเจเกียง
ลิหยง	ตำบล อยู่ภาคตวันออกเฉียงเหนือ อำเภอสิ่น มณฑลโห้ลำ
หลีหลำ, ยีหลำ	เมือง ภายหลังเปนอำเภอหลีหลำ มณฑลโห้ลำ เมืองเก่าอยู่ทางตวันออกเฉียงเหนือ อำเภอหลีหลำนั้น
โลก๊ก	เมือง คนภายหลังสามก๊กชี้เอาเมืองกุนจิ๋วฟู้ มณฑลซันตงเปนเมืองโลก๊ก
โลกัง	เมือง ชื่อนี้มีหลายเมือง ตั้งขึ้นก่อนสามก๊กก็มี ภายหลังลงมาก็มี เมืองโลกั๋งในเรื่องสามก๊ก เห็นจะหมายเอาเมืองโลกั๋งที่ตั้งเมื่อครั้งราชวงศ์ไซ่ฮั่นและครั้งราชวงศ์ตั้งฮั่น เมืองใดเมืองหนึ่ง
โลเสีย	เมือง เมืองเก่าอยู่พรมแดน อำเภอเทียนซุยกับอำเภอฟกเกียง มณฑลกังซก
เล่าลองไพ่	ตำบล ไม่ทราบว่าอยู่ที่ไหน
ลำกุ๋น	เมือง เปนอย่างมณฑลมาแต่ครั้งราชวงศ์จิ๋น ครั้งนั้นตั้งที่ว่าการมณฑลที่เมืองเท้ง ครั้งราชวงศ์ซุยชี้เอาเมืองเท้งเปนเมืองลำกุ๋น แล้วเปลี่ยนมาเปนเมืองเกงจิ๋ว (ดูอักษร ก)
ลำเจี๋ยง	เมือง คืออำเภอลำเจี๋ยงอันตั้งขึ้นภายหลังสามก๊ก อยู่ในมณฑลฮูเป
ลำฉัน	ตำบล ภายหลังเปนอำเภอลำฉัน มณฑลเจเกียง
ลำซี	เมือง ตั้งขึ้นภายหลังครั้งสามก๊ก แล้วเปลี่ยนเปนอำเภอตังถู่ มณฑลเกียงซู
ลำต๋ง	เมืองภายหลังเรียกฮันต๋งฟู้ มณฑลเซียนซี
ลำเต้ง	เมือง เมืองเก่าอยู่ทางเหนืออำเภอฮังเฉ่ง มณฑลโห้ลำ
ลำเต๋ง	เมือง ไม่ทราบว่าอยู่ที่ไหน
ลำพี	เมือง คืออำเภออันเปนที่ตั้งที่ว่าการเมืองปุดไฮ มณฑลจิลี (ดูอักษร ป)
ลำหยง	เมือง อยู่ในมณฑลโห้ลำ
ลำสัน	ภูเขา อยู่ทางใต้อำเภองีฮิง มณฑลเกียงซู
ลำอวด	เมือง เปนอย่างมณฑลมาแต่ครั้งราชวงศ์จิ๋น คือมณฑลกวางตุ้ง มณฑลกวงซีในภายหลัง
ลำอั๋น	เมือง ชื่อนี้มี ๔ เมือง คือเมืองลำอั๋นครั้งสามก๊กสร้างเมื่อครั้งราชวงศ์ตั้งฮั่นสมัยพระเจ้าเลนเต้ เมืองเก่าอยู่ทางตวันออกเฉียงเหนือ อำเภอลงซี มณฑลกังซกเมือง ๑ เมืองลำอั๋นฟู้ มณฑลเกียงซี สร้างครั้งราชวงศ์ซ้องเมือง ๑ อำเภอลำอั๋น มณฑลฮกเกี้ยน สร้างเมื่อครั้งราชวงศ์ซุยแห่ง ๑ เมืองลำอั๋นจิ๋ว มณฑลยงลำ สร้างเมื่อครั้งราชวงศ์หงวนเมือง ๑
ลกเค้า	ด่าน ด่านเก่าอยู่ทางตวันตกเฉียงใต้อำเภอเกียฮี มณฑลฮูเป
ลกซุย	ตำบล อยู่ ๒ ฟากฝั่งน้ำลก มณฑลเซียนซี
ลกเสีย	เมือง เมืองเก่าอยู่ทางเหนืออำเภอกวงหัง มณฑลเสฉวน
ลกห้องโผ	ตำบล ไม่ทราบว่าอยู่ที่ไหน
ลกเอี๋ยง	เมือง ภายหลังเรียกโห้ลำฟู้ มณฑลโห้ลำ
เล็กเสีย	เมือง ภายหลังเปนอำเภอเล็กเส มณฑลซันตง
ลงจิ๋ว	แม่น้ำ ไม่ทราบว่าอยู่ที่ไหน
ลงต่อต๋อง	เมือง ไม่ทราบว่าอยู่ที่ไหน
ลงเส	เมือง เมืองเก่าคืออำเภอติต๋าว มณฑลกังซก คนภายหลังครั้งสามก๊กชี้เอามณฑลกังซกทั้งมณฑลเปนเมืองลงเส
เลงจิ๋ว	เมือง (ดูที่ยงจิ๋ว)
เลงเหลง	เมือง ชื่อนี้มี ๓ เมือง เมืองเก่าครั้งราชวงศ์ไซ่ฮั่นอยู่ทางตวันตกเฉียงใต้อำเภอชวงมณฑลกวงซีเมืองหนึ่ง เมืองเก่าครั้งราชวงศ์ตั้งฮั่นอยู่ทางเหนืออำเภอเลงเหลง มณฑลฮูลำเมือง ๑ ที่กล่าวในสามก๊กเห็นจะเปนเมืองนี้ ยังมีเมืองเลงเหลงครั้งราชวงศ์ซุยอีกเมือง ๑ ซึ่งเปนอำเภอเลงเหลงอยู่ในมณฑลฮูลำ
ลองจิ๋ว	เมือง ชื่อนี้ตั้งขึ้นเมื่อครั้งราชวงศ์ถัง ซึ่งเปนอำเภอลองจิ๋ว อยู่ในมณฑลเสฉวนเดี๋ยวนี้
ลองเอี๋ย	เมือง เมืองเก่าอยู่ริมเขาลองเอี๋ย ๆ อยู่ทางตวันออกเฉียงใต้อำเภอจูเฉ่ง มณฑลซันตง
เลียงจิ๋ว	เมือง เปนอย่างมณฑลมาตั้งครั้งราชวงศ์ไซ่ฮั่น ครั้งราชวงศ์ตั้งฮั่นตั้งที่ว่าการมณฑลที่เมืองลงเฉ่ง เมืองเก่าอยู่ทางตวันออกเฉียงเหนืออำเภอชินงาง วุยก๊กครั้งสามก๊กย้ายที่ว่าการมณฑลไปตั้งที่เมืองวูไว ราชวงศ์ภายหลังสามก๊กลงมาชี้เอาเมืองวูไวเปนเมืองเลียงจิ๋ว คือเมืองเลียงจิ๋วฟู้มณฑลกังซก
ลุดคี	เมือง ภายหลังเปนอำเภอลุดคี มณฑลโห้ลำ
ลับจิ๋ว	เมือง อยู่ในมณฑลซันตง
ลิมกั๋ง	เมือง ตั้งขึ้นภายหลังครั้งสามก๊ก คือเมืองลิมกั๋งฟู้มณฑลเกียงซี
ลิมฉี	เมือง คือที่ตั้งที่ว่าการมณฑลเฉงจิ๋วสมัยสามก๊ก (ดูอักษร ฉ)
หลิวเซีย	เมือง ภายหลังเรียกหลิวจิ๋วฟู้ มณฑลกวงซี เมืองเก่าอยู่ทางใต้อำเภอซีฟา มณฑลโห้ลำ
ลองเอี๋ยง	เมือง ภายหลังเปนอำเภอลอยเอี๋ยง มณฑลฮูลำ
เลียวซุน, เอียวซุย	เมือง เมืองเก่าอยู่แขวงอำเภอไฮเฉ่ง มณฑลฟงเทียน
เลียวตั๋ง, เสียวตั๋ง, เสียงตั๋ง	เมือง เมืองเก่าอยู่ทางตวันออกเฉียงใต้มณฑลฟงเทียน
เลียวไส	เมือง เมืองเก่าอยู่ทางตวันออกอำเภอลูล่ง มณฑลจิลี
วุยก๊ก	เมือง คืออาณาเขตของพระเจ้าโจผี หมายเอาราชวงศ์วุย คำว่าก๊กมาภายหลังมิได้ใช้ ใช้คำซึ่งแปลว่าราชวงศ์แทน
วัวเหลง	เมือง (ดูที่เบาะเหลง)
เสเกียง	เมือง (ดูที่เกียงเสีย)
เสเกี๋ยง	เมือง เปนมณฑลเอกราชย์มณฑล ๑ ภายหลังจึงเปนเมือง ๔ เมือง คือเมืองเพาจิ๋วกับเมืองมินจิ๋ว มณฑลกังซก และเมืองซงฟานจิ๋วกับเมาจิ๋ว มณฑลเสฉวน
เสฉวน	เมือง เปนมณฑล ๑ ครั้งสามก๊กเรียกว่าเอ๊กจิ๋ว (ดูอักษร อ) แต่มาถึงครั้งราชวงศ์ถังจึงเปลี่ยนชื่อมณฑลเอ๊กจิ๋วเปนมณฑลเสฉวน แล้วต่อมาเปลี่ยนชื่อเปนสือฉวนอีก
เสเป๋ง	ด่าน ภายหลังเปนเมืองซีหลิงฟู้ มณฑลกังซก
เสหลง	เมือง ไม่ทราบว่าอยู่ที่ไหน
เสเหลียง	เมือง (ดูที่ซีหลง)
เสสัน	ภูเขา ภูเขาเสมี ๗ แห่ง อยู่แขวงปักกิง ๑ มณฑลจิลี ๑ มณฑลฮกเกี้ยน ๑ มณฑลกวางตุ้ง ๑ มณฑลเกียงซี ๑ ภูเขาเสที่กล่าวในสามก๊ก ไม่ได้ชี้ชัดลงไปว่าภูเขาไหน
เสเสีย	เมือง เมืองเก่าอยู่ทางตวันตกเฉียงเหนืออำเภองางคัง มณฑลเซียนซี
สำกั๋ง	ตำบล ตำบลสำกั๋งตั้งแต่อ่าวเอี้ยงจือถึงแขวงเสฉวนมี ๕ ตำบล ในสามก๊กไม่ปรากฎว่าเปนตำบลไหนแน่
สำคสัน	ภูเขา ไม่ทราบว่าอยู่ที่ไหน
สองเขียน	ตำบล คือตำบล ๒ ฟากแม่น้ำสองเขียน ภายหลังเรียกแม่น้ำยงติง มณฑลจิลี
เสียงต๋ง	เมือง เปนอย่างมณฑลมาแต่ครั้งราชวงศ์จิ๋นคือภาคกิหลิง มณฑลซันซี
เสียงเท้ง	เมือง (ดูที่เซียงเท้ง)
เสียงสัน	เมือง (ดูที่เซียงสัน)
เสียดก๊ก	ภูเขา ที่ถูกเซียก๊ก เปนด่านไม่ใช่ภูเขา (ดูอักษร ซ)
สินเต๋ง	ภูเขา อยู่ทางตวันตกเฉียงเหนืออำเภอกิงท่างมณฑลเกียงซู
สามกิก	เมือง ไม่ทราบว่าอยู่ที่ไหน
เสียวก๋วน	ด่าน เมืองด่านเก่าอยู่ทางตวันตกเฉียงเหนือ อำเภอกูย่งมณฑลกังซก
เสียวเกียว	ตำบล อยู่แขวงอำเภอหับหุย มณฑลงางไฝ
เสียวตั๋ง	เมือง (ดูที่เลียวตั๋ง)
เสียวพ่าย	เมือง ภายหลังเปนอำเภอพ่าย มณฑลเกียงซู เมืองเก่าอยู่ทางตวันออกอำเภอนี้ขึ้นไป
หอกี, ห้อยเข, ห้วยเข	เมือง เปนอย่างมณฑลมาแต่ครั้งราชวงศ์จิ๋น ครั้งนั้นตั้งที่ว่าการมณฑลที่เมืองง่อ อำเภอหอกีพึ่งตั้งขึ้นภายหลัง อยู่ในมณฑลเกียงซู
แห้ผือ	เมือง ภายหลังเปนอำเภอฝือ มณฑลเกียงซู เมืองเก่าอยู่ทางตวันออกอำเภอฝือ มณฑลเกียงซู
ไหอำ	เมือง ไม่ทราบว่าอยู่ที่ไหน
โห้ลำ	เมือง อยู่ในมณฑลโห้ลำ
โห้ลาย, โฮล่าย, โฮโล่	เมือง ภายหลังเปนอำเภอโห้ลาย มณฑลโห้ลำ
โห้ไส	เมือง ชื่อนี้พึ่งตั้งเปนอำเภอขึ้นภายหลังสามก๊ก
หองเหลง	เมือง ภายหลังเปนอำเภอหอง มณฑลฮูเป
หุนจิ๋ว	เมือง (ดูที่กุนจิ๋ว)
ห้วนเซีย, ห้วนเสีย	เมือง เมืองเก่าอยู่ทางเหนืออำเภอซงหยง มณฑลฮูเป
หับป๋า, หับหุย, ฮับปา	เมือง ภายหลังเรียกลูจิ๋วฟู มณฑลงางไฝ
เหียบเส็บ	ทาง ไม่ทราบว่าอยู่ที่ไหน
หุ้ยเหลง	ตำบล อยู่ทางตวันตกเฉียงใต้อำเภอฟาเอี้ยง มณฑลเสฉวน
ห้วยซุย	แม่น้ำ แม่น้ำห้วยตั้งแต่มณฑลโห้ลำถึงทะเลสาบฮงจะมณฑลงางไฝ
ห้วยหนำ	แม่น้ำ เปนชื่อรวมหัวเมืองภาคหนึ่งซึ่งอยู่ทางใต้แม่น้ำห้วยตั้งแต่เมืองเองจิ๋วฟู้มณฑลเกียงซู ถึงเมืองกวงจิ๋วมณฑลฮูลำ เปนชื่อตั้งขึ้นภายหลังสามก๊ก
ฬ่อก๊ก	ทาง แต่ภาคตวันตกเฉียงใต้อำเภอเจียวจะ ถึงภาคใต้อำเภอชิงเจะมณฑลเซียนซี ระยะไกลราว ๕๐๐๐ เส้น
ออโกก๊ก	เมือง อยู่ภาคตวันตกแม่น้ำใหญ่ประเทศอินเดีย ที่กล่าวชื่อนี้ในสามก๊กเห็นจะไม่ใช่เมืองนี้
ออเสง	เมือง ภายหลังเปนอำเภอออเสง มณฑลเจเกียง
อิข้อง	ภายหลังเปนอำเภออิข้อง มณฑลเจเกียง
อิเจี๋ยง	ภายหลังเปนอำเภอลำเซียง มณฑลเกียงซี
อิจิ๋ว	เมือง เปนอย่างมณฑลมาแต่ครั้งพระเจ้าอูฮองเต้ ครั้งสามก๊กก็ไม่ได้ตั้งที่ว่าการมณฑลเปนยุติ มาภายหลังครั้งราชวงศ์ตังงุ่ยชี้เอาเมืองยีลำเปนเมืองอิจิ๋ว คืออำเภอยีลำมณฑลโห้ลำ
อิต๋ง	ทาง คือทางแม่น้ำอิต๋ง มณฑลงางไฝ
อิปักโป๋	ตำบล ไม่ทราบว่าอยู่ที่ไหน
อิหลง	ตำบล ไม่ทราบว่าอยู่ที่ไหน
อิเหลง	ตำบลหรือด่าน ตำบลเก่าอยู่ในแขวงมณฑลฮูเปถึง ๕ แห่ง ที่กล่าวในสามก๊กไม่ทราบว่าที่ไหนแน่
อิสาน	ภูเขา ภายหลังเรียกภูเขาท่งเหย่ง อยู่ในมณฑลเจเกียง
อือกั๋ง, อิวกั๋ง, อิวก๊ก, อิวตั๋ง	เมือง ครั้งสามก๊กเปนแต่ตำบล ๑ เล่าปี่ไปตั้งเปนเมืองขึ้นเรียกว่าเมืองกังอั๋น (ดูอักษร ก)
อุไถ	เมือง ภายหลังเปนอำเภออุไถ มณฑลงางไฝ เมืองเก่าอยู่ทางตวันออกอำเภออุไถ
อูเต๋ง, จูเต๋ง, เฮาเต๋ง	ตำบล ภายหลังเรียกฟู้นาวไปฉี มณฑลฮูเป
แอสวน	ธารน้ำ ไม่ทราบว่าอยู่ที่ไหน
โอจิ๋ว, โฮจิ๋ว	เมือง อยู่ในมณฑลงางไฝ ตั้งขึ้นภายหลังสามก๊ก
เอ๊กก๋วน	เมือง ที่จริงเปนแต่อำเภอหนึ่งในเมืองเทียนซุยมณฑลกังซก
เอกจิ๋ว[๒]	เมือง ชื่อนี้ตั้งขึ้นภายหลังสามก๊ก
เอ๊กจิ๋ว	เมือง เปนอย่างมณฑลมาแต่ครั้งราชวงศ์ไซ่ฮั่น ต่อมาถึงราชวงศ์ตั้งฮั่นตั้งที่ว่าการมณฑลที่เมืองลกเสีย ภายหลังย้ายที่ว่าการมณฑลไปตั้งที่เมืองเซงโต๋ ที่กล่าวว่าพระเจ้าเล่าปี่ครองเมืองเสฉวนนั้นคือมณฑลเอ๊กจิ๋ว (ดูอักษร ส)
