English	ไทย	สังกัด	ตำแหน่ง	กลุ่ม	ช่วงที่ปรากฏ
Ji Mao	เกียดเมา			ลูกเกียดเป๋ง	กลาง
Ji Mu	เกียดบก			ลูกเกียดเป๋ง	กลาง
Ji Ping	หมอเกียดเป๋ง		ขุนนาง		ต้น
Jia Chong	กาอุ้น	วุยก๊ก (Wei)	กุนซือ	ลูกกากุ๋ย	ท้ายสุด
Jia Fan	แกหวน		นักรบ	กองซุนเอี๋ยน	ปลาย
Jia Hua	แกหัว	ง่อก๊ก (Wu)	นักรบ		กลาง
Jia Kui	กากุ๋ย	วุยก๊ก (Wei)	กุนซือ		กลาง
Jia Xu	กาเซี่ยง	วุยก๊ก (Wei)	กุนซือ	ตั๋งโต๊ะ	ต้น
Jian Shuo	เกียนสิด		ขุนนาง	10ขันที	ต้น
Jian Yong	กันหยง	จกก๊ก (Shu)	ขุนนาง		ต้น
Jiang Ban	เจียวปั้น	วุยก๊ก (Wei)	กุนซือ		ท้ายสุด
Jiang Bin	เจียวปิน	จกก๊ก (Shu)	นักรบ		ท้ายสุด
Jiang Gan	เจียวก้าน	วุยก๊ก (Wei)	กุนซือ		กลาง
Jiang Ji	เจียวเจ้	วุยก๊ก (Wei)	ขุนนาง		กลาง
Jiang Qi	เจียวกี๋		นักรบ	อ้วนเสี้ยว	ต้น
Jiang Qin	เจียวขิม(จิวขิม)	ง่อก๊ก (Wu)	นักรบ		ต้น
Jiang Shu	เจียวสี	จกก๊ก (Shu)	นักรบ		ท้ายสุด
Jiang Wan	เจียวอ้วน	จกก๊ก (Shu)	ขุนนาง		กลาง
Jiang Wei	เกียงอุย	วุย จก	กุนซือ		ปลาย
Jiang Xian	เจียวเอี๋ยน	จกก๊ก (Shu)	ขุนนาง		ท้ายสุด
Jiang Xu	เกียงขิม		ขุนนาง		กลาง
Jiang Yan	เจียวเอี๋ยน	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Jiang Yiqu	เจียวหงี		ขุนนาง	อ้วนเสี้ยว	ต้น
Jiao Bing	เจาเปง	วุยก๊ก (Wei)	นักรบ		กลาง
Jiao Bo	เจียวเป๊ก	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Jiao Chu	เจียวเหีย	วุยก๊ก (Wei)	นักรบ	อ้วนเสี้ยว	ต้น
Jiao Yi	เจียวอี้	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Jinhua Sanjie	กิมห้วน		นักรบ	ม่าน	ปลาย
Jin Shang	กิมเซี่ยง		ขุนนาง	อ้วนสุด	ต้น
Jin Xiang	กิมเซ๊ยง	จกก๊ก (Shu)	ขุนนาง		ปลาย
Jin Xuan	กิมสวน		ขุนนาง		กลาง
Jin Yi	กิมหัน	วุยก๊ก (Wei)	ขุนนาง		กลาง
Ju Gu	จองกี๋		ขุนนาง	อ้วนเสี้ยว	ต้น
Ju Shou	ชีสิว		กุนซือ	อ้วนเสี้ยว	ต้น
Kan Ze	งำเต๊ก	ง่อก๊ก (Wu)	ขุนนาง		กลาง
King Kebi Neng	ห่อปี่		นักรบ	กษัตริย์เกี๋ยง	ปลาย
Kong Rong	ขงหยง	วุยก๊ก (Wei)	ขุนนาง		ต้น
Kong Xiu	ขงสิ้ว	วุยก๊ก (Wei)	นักรบ		ต้น
Kong Yu	คงหยิบ		ขุนนาง	เล่าเปียว	ต้น
Kong Zhou	ขงมอ		ขุนนาง		ต้น
Kuai Liang	เกงเหลียง		กุนซือ	เล่าเปียว	ต้น
Kuai Yue	เกงอวด		กุนซือ	เล่าเปียว	ต้น
Kui Gu	อุยก้อ		นักรบ	เตียวเอี๋ยง	ต้น
Lai Min	ไลบิน	จกก๊ก (Shu)	ขุนนาง		ปลาย
Lei Bo	ลุยป๊ก		นักรบ	อ้วนสุด	ต้น
Lei Tong	ลุยต๋อง	จกก๊ก (Shu)	นักรบ	เล่าเจี้ยง	กลาง
Lei Xu	ลุยฉี		นักรบ	เล่าเปียว	ต้น
Li Bie	ลิเป๊ก		นักรบ	ลิฉุย	ต้น
Li Deng	โลหอง		นักรบ	อ้วนสุด	ต้น
Li Dian	ลิเตียน	วุยก๊ก (Wei)	นักรบ		ต้น
Li Du	ลิปู	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Li Fang	ลิฮอง	วุยก๊ก (Wei)	ขุนนาง	ลิโป้	ต้น
Li Fu	ลิฮก	จกก๊ก (Shu)	ขุนนาง		ปลาย
Li Gu	ลิจู	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Li Gui	ลีกุ๋ย		ขุนนาง	เล่าเปียว	กลาง
Li Hu	ลิเฮา	จกก๊ก (Shu)	ขุนนาง		ท้ายสุด
Li Hui	ลิอิ๋น	จกก๊ก (Shu)	ขุนนาง	เล่าเจี้ยง	กลาง
Li Jue	ลิฉุย		นักรบ	ตั๋งโต๊ะ	ต้น
Li Kan	ลิขำ		นักรบ	หันซุย	กลาง
Li Meng	ลิบ้อง		นักรบ	ตั๋งโต๊ะ	ต้น
Li Mu	ลีหู		นักรบ	อ้วนเสี้ยว	ต้น
Li Peng	ลิเพง	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Li Qiu	หลี่ฉิว	จกก๊ก (Shu)	นักรบ		ท้ายสุด
Li Qu	ลิต๊ก	วุยก๊ก (Wei)	ขุนนาง		กลาง
Li Ru	ลิยู		กุนซือ	ตั๋งโต๊ะ	ต้น
Li Sheng	หลีซิน	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Li Su	ลิซก		นักรบ	ตั๋งโต๊ะ	ต้น
Li Teng	ลิอ๋อง(ลิหลวง)	จกก๊ก (Shu)	ขุนนาง	ลูกลิเงียม	ปลาย
Li Tong	ลีถอง(ลิทอง)	วุยก๊ก (Wei)	นักรบ		ต้น
Li Xian	ลิเซียม		นักรบ	ลิฉุย	ต้น
Li Xin	ลิหิม	จกก๊ก (Shu)	นักรบ		ปลาย
Li Yan	ลิเงียม(ลิเหยียม)	จกก๊ก (Shu)	ขุนนาง	เล่าเจี้ยง	กลาง
Li Yi	ลิอี้	ง่อก๊ก (Wu)	นักรบ		ปลาย
Li Yue	ลิงัก		นักรบ		ต้น
Li Zhuan	ลิจวน	จกก๊ก (Shu)	ขุนนาง		ปลาย
Li Zong	ลิจ๋อง	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Liang Gang	เลียงกอง		นักรบ	อ้วนสุด	ต้น
Liang Ji	เลี่ยงกี๋	วุยก๊ก (Wei)	กุนซือ		ปลาย
Liang Kuan	เลงควัน		นักรบ	ม้าเฉียว	กลาง
Liang Qian	เลี้ยงเขียน	วุย จก	ขุนนาง		ปลาย
Liang Xing	เหลียงเหง		นักรบ	หันซุย	กลาง
Liang Xu	เหลียงซี	วุย จก	ขุนนาง		ปลาย
Liao Chun	เลียวซุน	จกก๊ก (Shu)	นักรบ		ปลาย
Liao Hua	เลียวหัว	จกก๊ก (Shu)	นักรบ	โจรผ้าเหลือง	ต้น
Liao Li	เลียวลี่	จกก๊ก (Shu)	ขุนนาง		ปลาย
Ling Bao	เหลงเปา		นักรบ	เล่าเจี้ยง	กลาง
Ling Cao	เล่งโฉ	ง่อก๊ก (Wu)	นักรบ		ต้น
Ling Tong	เล่งทอง	ง่อก๊ก (Wu)	นักรบ	ลูกเล่งโฉ	กลาง
Liu An	เล่าอั๋น				ต้น
Liu Ba	เล่าป๋า	จกก๊ก (Shu)	ขุนนาง	เล่าเจี้ยง	กลาง
Liu Bao	เล่าเป๋า	จกก๊ก (Shu)			ปลาย
Liu Bei	เล่าปี่	จกก๊ก (Shu)	ขุนนาง		ต้น
Liu Biao	เล่าเปียว		ขุนนาง		ต้น
Liu Chan	เล่าขำ	จกก๊ก (Shu)	ขุนนาง	ลุกเล่าเสี้ยน5	ท้ายสุด
Liu Cheng	เล่าเสง	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Liu Dai	เล่าต้าย	วุยก๊ก (Wei)	ขุนนาง		ต้น
Liu Dan	เล่าตัด	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Liu Dao	เล่าเอียว	จกก๊ก (Shu)	ขุนนาง	ลูกเล่าเสี้ยน2	ท้ายสุด
Liu Du	เล่าเตา	จกก๊ก (Shu)	ขุนนาง		กลาง
Liu Fan	เล่าเฉีย		นักรบ		ต้น
Liu Fang	เล่าฮอง	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Liu Fei	ลิวฮู		ขุนนาง	กองซุนเอี๋ยน	ปลาย
Liu Feng	เล่าฮอง	จกก๊ก (Shu)	นักรบ		กลาง
Liu Fu	เล่าฮก	วุยก๊ก (Wei)	ขุนนาง		กลาง
Liu Gui	เล่ากุ๋ย		นักรบ	เล่าเจี้ยง	กลาง
Liu He	เล่าเหอ	จกก๊ก (Shu)	ขุนนาง		ปลาย
Liu Hu	เล่าเก๋ง		ขุนนาง		ต้น
Liu Ju	เล่ากี	จกก๊ก (Shu)	ขุนนาง	ลูกเล่าเสี้ยน7	ท้ายสุด
Liu Jun	เล่ายวน		นักรบ	เล่าเจี้ยง	กลาง
Liu Li	เล่าลี	จกก๊ก (Shu)	ขุนนาง	ลูกเล่าปี่	ปลาย
Liu Lue	เล่าเลียก	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Liu Mi	เล่าปิด	จกก๊ก (Shu)	ขุนนาง		กลาง
Liu Min	เล่าปิ้น	จกก๊ก (Shu)	นักรบ		ปลาย
Liu Ning	หลิวหนิง	จกก๊ก (Shu)	นักรบ		ปลาย
Liu Pan	เล่าผวน	จกก๊ก (Shu)	ขุนนาง		กลาง
Liu Pi	เล่าเพ็ก	จกก๊ก (Shu)	นักรบ	โจรผ้าเหลือง	ต้น
Liu Ping	หลิวผิง	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Liu Qi	เล่ากี๋		ขุนนาง	ลูกเล่าเปียว	ต้น
Liu Rui	เล่ายอย	จกก๊ก (Shu)	ขุนนาง	ลูกเล่าเสี้ยน1	ท้ายสุด
Liu Shan	เล่าเสี้ยน(อาเต๊า)	จกก๊ก (Shu)	ขุนนาง		กลาง
Liu Shao	เล่าเซียว	วุยก๊ก (Wei)	นักรบ		ปลาย
Liu Shi	หลิวซี	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Liu Tao	เล่าโต๋		ขุนนาง		ต้น
Liu Wan	เล่าอวน		ขุนนาง		ต้น
Liu Xi	เล่าฮี	วุยก๊ก (Wei)	ขุนนาง	ลูกเล่าฮก	กลาง
Liu Xian	พระเจ้าเหี้ยนเต้		ขุนนาง	กษัตริย์	ต้น
Liu Xiang	เล่าเหียน	จกก๊ก (Shu)	ขุนนาง	ลูกเล่าเตา	กลาง
Liu Xin	เล่าเซียน		ขุนนาง	เล่าเปียว	กลาง
Liu Xu	หลิวซิน		ขุนนาง		ต้น
Liu Xue	เล่าสุน	จกก๊ก (Shu)	ขุนนาง	ลูกเล่าเสี้ยน6	ท้ายสุด
Liu Xun	เล่าชุน		ขุนนาง	ลูกเล่าเจี้ยง	กลาง
Liu Yan	เล่าเอี๋ยน(เล่าเอียง)		ขุนนาง		ต้น
Liu Yang	เล่าเหยียน	จกก๊ก (Shu)	นักรบ		ปลาย
Liu Yao	เล่าอิ้ว		ขุนนาง		ต้น
Liu Ye	เล่าหัว	วุยก๊ก (Wei)	กุนซือ		ต้น
Liu Yu	เล่าหงี		ขุนนาง		ต้น
Liu Yue	เล่าเอียน	วุยก๊ก (Wei)	ขุนนาง		ต้น
Liu Yung	เล่าหยัง	จกก๊ก (Shu)	ขุนนาง	ลูกเล่าปี่	ปลาย
Liu Zan	เล่าจ้าน	จกก๊ก (Shu)	ขุนนาง	ลูกเล่าสี้ยน4	ท้ายสุด
Liu Zang	เล่าเบา	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Liu Zhang	เล่าเจี้ยง		ขุนนาง		ต้น
Liu Zhong	เล่าจ้อง	จกก๊ก (Shu)	ขุนนาง	ลูกเล่าเสี้ยน3	ท้ายสุด
Liu Ziyang	เล่าจูเจี๋ยง		ขุนนาง	เตงโป้	ต้น
Liu Zong	เล่าจ๋อง		ขุนนาง	ลูกเล่าเปียว	ต้น
Lou Xuan	โหลวเสียน	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Lou Zibo	โหลวจื่อโปว			นักพรต	กลาง
Lu Ba	ลิปา	ง่อก๊ก (Wu)	นักรบ	ลูกลิบอง	กลาง
Lu Boshe	หลีแปะเฉีย			โจโฉฆ่า	ต้น
Lu Bu	ลิโป้		นักรบ		ต้น
Lu Chang	ลิเสียง	วุยก๊ก (Wei)	นักรบ		กลาง
Lu Dai	ลิต้าย	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Lu Fan	ลิห้อม	ง่อก๊ก (Wu)	ขุนนาง	อ้วนสุด	ต้น
Lu Gang	ลู่คัง		ขุนนาง		ต้น
Lu Gong	ลีก๋ง		นักรบ	เล่าเปียว	ต้น
Lu Ji	ลกเจ๊ก	ง่อก๊ก (Wu)	กุนซือ		กลาง
Lu Jing	ลู่จิ่ง	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Lu Ju	ลีกี	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Lu Kai	ลิคี	จกก๊ก (Shu)	กุนซือ		ปลาย
Lu Kang	ลกข้อง	ง่อก๊ก (Wu)	นักรบ	ลูกลกซุน	ท้ายสุด
Lu Kuai	ลู่ข่าย	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Lu Kuang	ลิกอง	วุยก๊ก (Wei)	นักรบ	อ้วนเสี้ยว	ต้น
Lu Kui	หลู่คุย		ขุนนาง	ตั๋งโต๊ะ	ต้น
Lu Meng	ลิบอง	ง่อก๊ก (Wu)	นักรบ		กลาง
Lu Qian	ลิยอย	วุยก๊ก (Wei)	นักรบ		ต้น
Lu Su	โลซก	ง่อก๊ก (Wu)	กุนซือ		ต้น
Lu Weihuang	ลิอุยหอง		นักรบ	อ้วนเสี้ยว	ต้น
Lu Xiang	ลิเซียง	วุยก๊ก (Wei)	นักรบ	อ้วนเสี้ยว	ต้น
Lu Xu	หลูซุน	จกก๊ก (Shu)	นักรบ		ท้ายสุด
Lu Xun	ลกซุน	ง่อก๊ก (Wu)	นักรบ		กลาง
Lu Yin	ลิหงี	จกก๊ก (Shu)	นักรบ	เล่าเจี้ยง	กลาง
Lu Zhao	ล่อเจียว	วุยก๊ก (Wei)	นักรบ		ต้น
Lu Zhi	โลติด		ขุนนาง	อ.เล่าปี่	ต้น
Lu Zhu	เล่าจี๋	วุยก๊ก (Wei)	นักรบ		ปลาย
Lun Zhi	ลุนติด		กุนซือ	กองซุนเอี๋ยน	ปลาย
Luo Tong	ล่อถ่ง	ง่อก๊ก (Wu)	ขุนนาง		กลาง
Ma Chao	ม้าเฉียว	จกก๊ก (Shu)	นักรบ	ลูกม้าเท้ง	ต้น
Ma Dai	ม้าต้าย	จกก๊ก (Shu)	นักรบ	หลานม้าเท้ง	กลาง
Ma Han	ม้าหั้น		นักรบ	เล่าเจี้ยง	กลาง
Ma Jun	ม้ากิ้น	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Ma Liang	ม้าเลี้ยง	จกก๊ก (Shu)	กุนซือ		กลาง
Ma Miao	ม้าเชียว	วุย จก	ขุนนาง		ท้ายสุด
Ma Midi	ม้าหยิด		ขุนนาง	ตั๋งโต๊ะ	ต้น
Ma Su	ม้าเจ็ก	จกก๊ก (Shu)	กุนซือ		กลาง
Ma Sui	ม้าซู่		นักรบ	พ่อม้าเท้ง	กลาง
Ma Teng	ม้าเท้ง		นักรบ		ต้น
Ma Tie	ม้าเทียด		นักรบ	ลูกม้าเท้ง	กลาง
Ma Wan	ม้าอ้วน		นักรบ	หันซุย	กลาง
Ma Xiu	ม้าฮิว		นักรบ	ลูกม้าเท้ง	กลาง
Ma Yan	ม้าเอี๋ยน	วุยก๊ก (Wei)	นักรบ	อ้วนเสี้ยว	ต้น
Ma Yu	ม้าฮู		ขุนนาง		ต้น
Ma Yun	ม้าอี้	จกก๊ก (Shu)	ขุนนาง		ปลาย
Ma Yuanyi	ม้าอ้วนยี่		นักรบ	โจรผ้าเหลือง	ต้น
Ma Zheng	ม้าตง	จกก๊ก (Shu)	นักรบ		ปลาย
Ma Zhong	ม้าต๋ง	ง่อก๊ก (Wu)	นักรบ		กลาง
Ma Zun	ม้าจุ้น	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Man Chong	หมันทอง	วุยก๊ก (Wei)	นักรบ		ต้น
Mang Yachang	เงียมเตียง		นักรบ	ม่าน	ปลาย
Mao Dun	เป๊กตุ้น		ขุนนาง		ต้น
Mao Jie	มอกาย	วุยก๊ก (Wei)	กุนซือ		ต้น
Meng Da	เบ้งตัด	วุย จก	นักรบ	เล่าเจี้ยง	กลาง
Meng Gongwei	เบงคงอุย			เพื่อนขงเบ้ง	กลาง
Meng Guang	เบงกอง	จกก๊ก (Shu)	ขุนนาง		ปลาย
Meng Huo	เบ้งเฮ็ก		นักรบ	ม่านอ๋อง	ปลาย
Meng Jia	เบ้งเจียด			พี่ชายเบ้งเฮก	ปลาย
Meng Tan	เบงทัน	วุยก๊ก (Wei)	นักรบ		ต้น
Meng You	เบ้งฮิว		นักรบ	น้องเบ้งเฮ็ก	ปลาย
Meng Zong	เบ้งจ๋อง	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Mi Dang	ปีต๋อง		นักรบ	เกี๋ยงอ๋อง	ท้ายสุด
Mi Fang	บิฮอง	จกก๊ก (Shu)	ขุนนาง		ต้น
Mi Heng	ยี่เอ๋ง	วุยก๊ก (Wei)	ขุนนาง		ต้น
Mi Zhu	บิต๊ก	จกก๊ก (Shu)	ขุนนาง	โตเกี๋ยม	ต้น
Miao Ze	เบียวเต๊ก	วุยก๊ก (Wei)	ขุนนาง		กลาง
Min Gong	บินของ		นักรบ		ต้น
Morong Lie	บัวเหลียด	วุยก๊ก (Wei)	นักรบ		กลาง
Mu Lu	เจ้าบกลก		นักรบ	ม่าน	ปลาย
Mu Shun	บอกสุ้น	วุยก๊ก (Wei)	ขุนนาง	เตียวเอี๋ยง	ต้น
Ning Sui	เบงซุย	จกก๊ก (Shu)	นักรบ		ท้ายสุด
Niu Fu	งิวฮู(หนิวปู่)		นักรบ	เขยตั๋งโต๊ะ	ต้น
Niu Jin	งิวขิ้ม	วุยก๊ก (Wei)	นักรบ		กลาง
Ou Xing	คูเสง		นักรบ	โจร	ต้น
Pan Feng	พัวหอง		นักรบ	ฮันฮก	ต้น
Pan Ju	พัวกี๋	วุยก๊ก (Wei)	นักรบ		ปลาย
Pan Jun	พัวโยย	จก ง่อ	ขุนนาง		กลาง
Pan Yin	พัวอิ๋น		ขุนนาง		ต้น
Pan Sui	ล่อซุย	วุยก๊ก (Wei)	นักรบ		ปลาย
Pan Zhang	พัวเจี้ยง	ง่อก๊ก (Wu)	นักรบ		กลาง
Pang De	บังเต๊ก	วุยก๊ก (Wei)	นักรบ	ม้าเท้ง	กลาง
Pang Degong	บังเต๊กก๋ง				กลาง
Pang Rou	บังยิว	จกก๊ก (Shu)	ขุนนาง		กลาง
Pang Shu	บังสี		นักรบ	ลิโป้	ต้น
Pang Tong	บังทอง (ซื่อง้วน)	จกก๊ก (Shu)	กุนซือ		กลาง
Pang Xi	บังยี่		นักรบ	เล่าเจี้ยง	กลาง
Pei Jing	ปวยเก๋ง	วุยก๊ก (Wei)	นักรบ		ปลาย
Pei Xiu	หุยสิว	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Pei Xu	เปยซี่	จกก๊ก (Shu)	นักรบ		ปลาย
Pei Yuanshao	หุยง่วนเสียว		นักรบ	โจรผ้าเหลือง	ต้น
Peng An	แพอั๋น		นักรบ	อ้วนเสี้ยว	ต้น
Peng Bo	แพ่เป๊ก		นักรบ		ต้น
Peng He	แพโท	จกก๊ก (Shu)	ขุนนาง		ท้ายสุด
Peng Ji	อองกี่(ฮองกี๋)		กุนซือ	อ้วนเสี้ยว	ต้น
Peng Yang	แพเอี้ยว	จกก๊ก (Shu)	กุนซือ	เล่าเจี้ยง	กลาง
Pu Jing	เภาเจ๋ง				ต้น
Puyang Xing	ผู่หยังซิ่ง	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Qian Hong	ตันหอง	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Qiao Mao	เตียวโป้(เฉียวเหมา)		ขุนนาง		ต้น
Qiao Rui	เตียวเสง		นักรบ	อ้วนสุด	ต้น
Qiao Zhou	เจียวจิ๋ว	จกก๊ก (Shu)	ขุนนาง	เล่าเจี้ยง	กลาง
Qin Lang	จีนล่ง	วุยก๊ก (Wei)	นักรบ		ปลาย
Qin Liang	จิ๋นเหลียง	วุยก๊ก (Wei)	นักรบ		ปลาย
Qin Mi	จิ๋นปี(จินปิด,ฉินมี่)	จกก๊ก (Shu)	นักรบ	เล่าเจี้ยง	กลาง
Qin Ming	จีนเบ้ง	วุยก๊ก (Wei)	นักรบ		ปลาย
Qin Qi	จินกี๋	วุยก๊ก (Wei)	นักรบ		ต้น
Qiu Ben	คูปุน	วุยก๊ก (Wei)	กุนซือ		ท้ายสุด
Qiu Jian	คูเกี๋ยน	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Qu Yi	จ๊กยี่		นักรบ	อ้วนเสี้ยว	ต้น
Quan Duan	จวนต๋วน	วุย ง่อ	นักรบ		ท้ายสุด
Quan Ji	จวนกี๋	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Quan Shang	จวนเสียง	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Quan Wei	จวนฮุย	วุย ง่อ	นักรบ		ท้ายสุด
Quan Yi	จวนเต๊ก	วุย ง่อ	นักรบ		ท้ายสุด
Quan Zong	จวนจ๋อง(ฉวนจง)	ง่อก๊ก (Wu)	นักรบ		ปลาย
Quin Quington	เคงต๋อง				ต้น
Ren Jun	ยิมจุ๋น	วุยก๊ก (Wei)	ขุนนาง		ต้น
Ren Kui	งิมเอ๋ง	จกก๊ก (Shu)	นักรบ		กลาง
Sha Moke	สะโมโข		นักรบ	ม่าน	ปลาย
Shan Tao	ซานเถา	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Shao Ti	เส้าทิ	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Shao Yuan	เซียวหลวน	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Shen Dan	ซินต๋ำ	วุย จก	นักรบ		กลาง
Shen Pei	สิมโพย		กุนซือ	อ้วนเสี้ยว	ต้น
Shen Yi	ซินหงี	วุย จก	นักรบ		กลาง
Shen Zong	ซิมเอ๋ง	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Sheng Bo	เซงฮู	จกก๊ก (Shu)	ขุนนาง		ปลาย
Shi Bao	สือเปา	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Shi Guangyuan	โจ๊ะก๋งหงวน			เพื่อนขงเบ้ง	กลาง
Shi Huan	สูหวน	วุยก๊ก (Wei)	นักรบ		ต้น
Shi Ji	สิวเจ๊ก	ง่อก๊ก (Wu)	นักรบ		ปลาย
Shisun Rui	ซุนซุย		ขุนนาง		ต้น
Shi Shuo	ชีซก	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Shi Zuan	สุเมา	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Si Fan	สูหวน	วุยก๊ก (Wei)	ขุนนาง		ปลาย
Sima Fang	สุมาหอง	วุยก๊ก (Wei)	ขุนนาง	พ่อสุมาอี้	กลาง
Sima Fu	สุมาหู	วุยก๊ก (Wei)	กุนซือ	น้องสุมาอี้	กลาง
Sima Hui	สุมาเต็กโช				กลาง
Sima Juan	สุมาจุ้น	วุยก๊ก (Wei)	ขุนนาง	อาสุมาอี้	กลาง
Sima Lang	สุมาหลัง	วุยก๊ก (Wei)	ขุนนาง	พี่สุมาอี้	กลาง
Sima Shi	สุมาสู	วุยก๊ก (Wei)	นักรบ	ลูกสุมาอี้1	ปลาย
Sima Wang	สุมาปอง	วุยก๊ก (Wei)	ขุนนาง	ลูกพี่สุมาเจียว	ท้ายสุด
Sima Yan	สุมาเอี๋ยน	วุยก๊ก (Wei)	ขุนนาง	ลูกสุมาเจียว1	ท้ายสุด
Sima Yi	สุมาอี้ (ชงต๊ะ)	วุยก๊ก (Wei)	กุนซือ		กลาง
Sima You	สุมาฮิว	วุยก๊ก (Wei)	ขุนนาง	ลูกสุมาเจียว2	ท้ายสุด
Sima Zhao	สุมาเจียว	วุยก๊ก (Wei)	กุนซือ	ลูกสุมาอี้2	ปลาย
Sima Zhou	สุมาเตี้ยม	วุยก๊ก (Wei)	นักรบ		ท้ายสุด
Song Bai	ซองเป๊ก	วุยก๊ก (Wei)	ขุนนาง		ท้ายสุด
Song Guo	ซองโก		ขุนนาง		ต้น
Song Qian	ซงเขียม	ง่อก๊ก (Wu)	นักรบ		กลาง
Song Xian	ซงเหียน		นักรบ	ลิโป้	ต้น
Song Zhong	ซงต๋ง		ขุนนาง	เล่าเปียว	กลาง
Su Fei	โชหุย		ขุนนาง	หองจอ	กลาง
Su Yong	เชาหู	วุยก๊ก (Wei)	นักรบ		ปลาย
Su You	โซฮิว		นักรบ	อ้วนเสี้ยว	ต้น
Sui Lei	ซุยก๊ก		ขุนนาง		ต้น
Sui Yi	ซุยเสียง		ขุนนาง	4พี่น้อง	ต้น
Sun Ce	ซุนเซ็ก	ง่อก๊ก (Wu)	นักรบ	4พี่น้อง	ต้น
Sun Chen	ซุนหลิม	ง่อก๊ก (Wu)	นักรบ	น้องซุนจุ้น	ท้ายสุด
Sun Deng	ซุนเต๋ง	ง่อก๊ก (Wu)	ขุนนาง	ลูกซุนกวน1	ปลาย
Sun En	ซุนเอิน	ง่อก๊ก (Wu)	ขุนนาง	พี่น้องซุนหลิม	ท้ายสุด
Sun Gan	ซุนก้าน	ง่อก๊ก (Wu)	ขุนนาง	พี่น้องซุนหลิม	ท้ายสุด
Sun Gao	ซุนโก๋	ง่อก๊ก (Wu)	ขุนนาง		กลาง
Sun Gong	ซุนหยง	ง่อก๊ก (Wu)	ขุนนาง	พ่อซุนจุ๋น	ท้ายสุด
Sun Guan	ซุนก้วน		นักรบ	ลิโป้	ต้น
Sun Hao	ซุนโฮ	ง่อก๊ก (Wu)	ขุนนาง	ลูกซุนฮิว1	ท้ายสุด
Sun He	ซุนโห	ง่อก๊ก (Wu)	ขุนนาง	ลูกซุนกวน2	ท้ายสุด
Sun Hu	ซุนยี่	ง่อก๊ก (Wu)	ขุนนาง		ต้น
Sun Huan	ซุนหวน	ง่อก๊ก (Wu)	นักรบ		ปลาย
Sun Ji	ซุนอี้	ง่อก๊ก (Wu)	นักรบ		ท้ายสุด
Sun Jian	ซุนเกี๋ยน	ง่อก๊ก (Wu)	นักรบ		ต้น
Sun Jiao	ซุนเกียว	ง่อก๊ก (Wu)	ขุนนาง		กลาง
Sun Jing	ซุนแจ้ง	ง่อก๊ก (Wu)	กุนซือ	น้องซุนเกี๋ยน	ท้ายสุด
Sun Ju	ซุนจี้	ง่อก๊ก (Wu)	ขุนนาง	พี่น้องซุนหลิม	ท้ายสุด
Sun Jun	ซุนจุ๋น	ง่อก๊ก (Wu)	ขุนนาง	หลานซุนเกี๋ยน	ท้ายสุด
Sun Kai	ซุนเข	ง่อก๊ก (Wu)	ขุนนาง		ท้ายสุด
Sun Kan	ซุนข่าย	ง่อก๊ก (Wu)	ขุนนาง	พี่น้องซุนหลิม	ท้ายสุด
Sun Kuang	ซุนของ	ง่อก๊ก (Wu)	ขุนนาง	4พี่น้อง	ต้น
